"q1","q2","q3","q41","q42","q43","q44","q45","q46","q47","q48","q49","q410","q411","q412","q413","q414","q415","q416","q417","q418","q419","q420","q421","q51","q52","q53","q54","q55","q56","q61","q62","q63","q7","q81","q82","q83","q84","q85","q86","q87","q88","q89","q91","q92","q93","q94","q95","q96","q97","q101","q102","q103","q104","q105","q106","q107","q108","q109","q1010","q1011","q1012","q1013","q1014","q1015","q111.1","q111.2","q111.3","q112.1","q112.2","q112.3","q113.1","q113.2","q113.3","q114.1","q114.2","q114.3","q115.1","q115.2","q115.3","q116.1","q116.2","q116.3","q117.1","q117.2","q117.3","q118.1","q118.2","q118.3","q119.1","q119.2","q119.3","q1110.1","q1110.2","q1110.3","q1111.1","q1111.2","q1111.3","q121","q122","q123","q124","q125","q131","q132","q133","q134","q135","q136","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","avg_engagement","avg_learning","avg_writing","avg_remedial","avg_encouragement","avg_growth","avg_resource","avg_retention","avg_payment"
3,1,2,3,3,3,2,3,3,4,4,4,2,2,3,3,3,3,3,4,3,2,2,3,2,2,2,2,2,2,2,2,2,5,3,1,3,2,1,2,3,3,3,3,3,3,4,4,4,2,2,3,2,2,2,2,2,2,1,1,2,2,2,3,4,2,2,1,4,3,2,4,3,3,2,2,2,2,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,2,2,3,3,1,3,3,3,5,1,2,3,2,2,1,2,5,1,2.95238095238095,2,2,2.33333333333333,3.28571428571429,2.13333333333333,3.24242424242424,3.4,2.33333333333333
1,2,2,3,3,4,3,3,4,4,3,4,2,2,2,3,4,3,2,4,3,3,3,3,2,3,3,2,2,2,2,1,2,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,1,3,2,3,3,2,4,3,2,2,4,3,3,3,3,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,2,1,3,2,3,3,3,5,1,1,2,2,1,2,1,2,5,1,3.0952380952381,2.33333333333333,1.66666666666667,3,2.42857142857143,2.8,3.75757575757576,3.4,2.33333333333333
4,2,2,3,2,2,2,3,1,2,4,4,2,2,3,4,4,3,3,4,4,3,3,3,2,3,3,3,4,3,2,2,2,5,3,3,3,3,3,3,3,3,3,2,2,3,2,1,2,1,1,1,2,2,2,1,1,3,2,2,3,3,4,2,2,1,1,1,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,2,3,2,3,4,3,1,2,3,3,3,3,2,6,1,3,4,1,2,1,2,6,1,2.9047619047619,3,2,3,1.85714285714286,2.06666666666667,3.42424242424242,2.8,2.5
3,2,2,3,4,4,3,2,3,3,4,4,1,3,3,4,3,3,3,4,4,3,4,3,2,2,2,2,2,2,2,1,2,3,1,3,3,3,3,3,3,3,3,2,3,3,4,3,2,2,3,2,3,2,2,2,2,3,2,4,4,3,4,4,4,3,1,2,4,4,4,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,1,1,3,3,3,1,1,3,1,4,4,1,1,3,1,2,1,2,5,1,3.23809523809524,2,1.66666666666667,2.77777777777778,2.71428571428571,2.93333333333333,3.57575757575758,1.4,2.33333333333333
2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,4,4,4,2,2,2,2,2,2,2,1,3,6,3,3,2,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4,2,1,2,3,3,3,3,4,4,1,2,2,1,2,1,2,5,1,3,2,2,2.44444444444444,3,3,2.06060606060606,3.6,2.33333333333333
2,2,2,3,3,3,2,3,3,3,4,4,2,2,2,3,3,3,2,4,3,2,3,3,3,3,1,1,1,1,2,2,2,6,2,3,3,2,3,3,3,2,3,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,4,3,4,2,2,3,2,3,3,3,3,3,1,2,4,2,2,2,2,6,1,2.85714285714286,1.66666666666667,2,2.66666666666667,1.71428571428571,1.6,3.42424242424242,3.4,2.5
2,2,2,3,2,4,2,4,3,4,4,3,2,2,2,3,2,3,2,2,2,1,1,3,2,2,2,2,2,2,2,2,3,4,2,3,3,3,3,3,2,2,3,2,2,2,4,3,4,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,1,2,2,2,3,2,1,3,4,1,4,4,4,3,4,2,4,4,4,2,2,1,2,1,1,3,4,4,1,1,1,4,4,4,2,2,3,1,2,1,2,3,2,2,2,3,5,3,1,1,5,1,2,1,2,5,1,2.57142857142857,2,2.33333333333333,2.66666666666667,2.57142857142857,1.33333333333333,2.66666666666667,2,2
4,2,2,2,3,3,2,3,2,2,3,4,1,1,1,3,3,2,2,3,2,1,1,4,1,1,1,1,1,1,2,2,3,7,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,3,2,4,3,3,2,3,2,2,3,3,3,3,3,3,3,2,1,1,2,2,1,3,4,4,1,1,1,1,2,1,4,4,4,2,3,2,1,1,1,2,2,1,2,2,1,4,4,4,3,4,4,4,4,2,1,3,2,3,1,3,5,6,1,1,3,2,2,2,2,2,1,2.28571428571429,1,2.33333333333333,3,2.85714285714286,2.8,2.15151515151515,3.8,2
3,2,2,1,1,1,1,3,2,3,4,4,1,1,3,3,3,1,1,3,2,4,4,3,2,2,2,2,2,2,2,3,2,4,3,1,1,3,3,2,3,3,2,2,2,2,4,4,4,1,2,2,2,2,1,2,3,1,1,1,1,3,3,1,3,2,1,1,2,2,1,2,2,1,3,2,2,3,2,2,3,4,4,4,4,4,1,1,1,3,3,3,2,2,1,4,4,4,2,4,4,4,4,3,1,3,3,3,3,1,4,6,1,2,5,1,2,2,1,2,1,2.33333333333333,2,2.33333333333333,2.33333333333333,2.71428571428571,1.86666666666667,2.42424242424242,3.6,2.66666666666667
4,1,2,4,4,4,2,2,3,3,4,4,4,4,4,4,4,4,2,4,4,3,4,3,1,3,2,1,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,2,1,4,4,3,1,1,3,3,3,3,1,4,6,1,3,6,2,1,1,2,5,1,3.52380952380952,1.83333333333333,2.66666666666667,3,4,4,3.66666666666667,2.8,2.33333333333333
3,2,2,2,2,3,2,4,2,2,3,3,2,2,3,2,3,3,2,4,3,3,3,4,2,2,2,2,2,1,2,2,2,4,2,3,2,2,2,2,3,2,3,1,1,2,2,2,3,2,2,2,1,1,1,3,3,1,2,2,2,2,3,1,1,1,1,1,2,2,1,3,3,2,2,2,2,2,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,3,3,4,3,2,3,2,2,1,3,3,3,1,1,1,4,1,2,1,2,5,1,2.71428571428571,1.83333333333333,2,2.33333333333333,1.85714285714286,1.8,1.84848484848485,3.4,2.16666666666667
4,2,2,2,2,4,3,3,2,3,4,4,1,3,3,3,3,3,3,3,2,4,4,4,3,2,2,2,2,3,2,2,4,6,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2,4,2,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,2,4,3,2,2,3,3,3,3,3,3,4,4,4,3,2,2,1,1,1,3,2,2,2,2,1,4,4,4,4,4,4,4,4,2,1,3,3,3,3,3,4,6,1,2,4,1,2,1,2,5,1,3,2.33333333333333,2.66666666666667,2.77777777777778,2.71428571428571,2.73333333333333,2.60606060606061,4,2.5
3,1,2,3,2,3,3,3,2,4,4,4,3,2,2,3,3,3,2,3,3,2,2,3,1,2,2,2,2,2,3,2,3,6,2,3,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,2,2,3,3,3,3,3,2,3,3,2,2,3,3,5,5,1,2,3,2,2,1,2,5,1,2.80952380952381,1.83333333333333,2.66666666666667,2,3,3,2.06060606060606,3,2.5
4,1,2,3,1,3,1,3,3,3,4,3,3,2,4,3,3,3,2,3,3,1,1,4,3,3,3,2,4,3,5,2,4,5,2,3,3,1,1,1,3,1,1,1,3,2,4,3,3,1,1,3,3,4,3,4,2,2,1,3,3,4,4,4,3,2,2,2,3,3,1,3,1,1,2,2,2,1,2,1,4,4,4,2,1,1,2,1,1,1,1,1,4,4,4,1,1,1,1,4,3,1,2,2,1,3,2,3,3,4,4,6,1,2,3,2,2,1,2,5,1,2.66666666666667,3,3.66666666666667,1.77777777777778,2.42857142857143,2.93333333333333,2,2.2,2.33333333333333
4,1,2,2,1,1,2,4,1,2,3,4,1,2,2,2,2,2,2,3,4,4,4,4,2,2,3,1,2,1,3,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,4,4,4,1,1,1,3,3,2,2,2,2,1,2,2,1,1,1,4,4,4,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,4,4,4,1,4,1,1,3,3,3,3,4,4,6,1,2,4,2,2,2,2,5,1,2.47619047619048,1.83333333333333,3,1,1.85714285714286,2.53333333333333,1.63636363636364,3.4,2.33333333333333
3,2,2,1,2,2,2,4,2,2,3,3,1,1,1,1,2,2,1,3,2,2,2,4,2,2,2,2,2,2,1,1,1,5,2,3,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,4,2,1,2,1,1,1,4,4,4,4,4,4,4,4,3,1,3,3,1,3,3,5,1,1,1,3,1,2,1,2,5,1,2.04761904761905,2,1,2.44444444444444,2,2,2.96969696969697,4,2.33333333333333
1,1,2,1,2,3,2,4,2,3,3,4,3,2,2,3,3,3,3,4,2,2,3,4,3,2,3,2,3,2,3,2,3,6,2,3,3,3,3,3,3,3,2,3,1,3,3,3,4,3,2,1,2,2,2,2,2,2,1,3,3,2,3,2,1,1,1,1,2,1,1,4,4,1,3,4,2,2,2,3,4,4,4,3,4,4,2,2,3,2,1,1,4,4,4,4,4,4,2,2,3,1,2,1,2,3,3,1,3,3,3,2,1,1,2,1,2,1,2,5,1,2.76190476190476,2.5,2.66666666666667,2.77777777777778,2.85714285714286,2,2.72727272727273,2,2.16666666666667
3,2,2,2,2,2,2,4,2,2,3,2,2,2,1,1,2,2,2,3,2,2,3,4,2,2,1,3,2,2,3,3,3,5,2,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,1,3,3,4,6,1,1,3,1,2,1,2,6,1,2.23809523809524,2,3,2.77777777777778,1,2,2.27272727272727,4,2.5
4,2,2,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,2,3,1,7,2,2,1,1,1,2,3,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,4,1,2,2,1,1,1,1,4,4,4,1,1,1,1,1,1,3,2,3,1,1,1,4,4,1,2,2,4,1,4,2,1,1,1,1,3,1,5,5,1,2,4,2,2,1,2,5,1,1.38095238095238,3,2,1.55555555555556,1.85714285714286,1,1.96969696969697,2.6,1.5
3,2,2,2,3,3,2,4,2,3,4,3,1,1,2,4,2,2,2,3,1,2,1,4,3,2,2,1,1,2,3,2,3,6,3,3,3,3,3,3,3,3,3,2,2,2,4,3,4,3,4,4,4,4,4,3,3,4,4,4,2,3,4,4,4,2,1,1,3,4,1,3,4,1,3,4,2,3,4,2,3,4,4,3,3,2,2,2,1,3,2,2,3,3,1,4,4,4,2,1,2,1,4,3,1,2,3,1,3,3,5,2,1,2,3,1,2,1,2,5,1,2.42857142857143,1.83333333333333,2.66666666666667,3,2.85714285714286,3.66666666666667,2.66666666666667,2,2.16666666666667
1,1,2,2,3,3,2,3,3,4,3,4,3,2,2,4,3,3,2,4,2,2,4,3,3,3,3,3,3,3,2,2,2,5,2,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,3,3,3,2,4,3,4,4,3,4,4,3,4,4,3,2,2,2,2,1,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,3,1,2,1,3,2,1,3,3,3,3,3,3,2,1,2,5,1,2,1,2,7,1,2.9047619047619,3,2,2.55555555555556,2.85714285714286,3.2,3.27272727272727,2,2.5
4,2,2,2,2,3,2,3,2,2,4,4,3,2,2,2,2,2,1,3,3,3,3,4,3,3,2,2,2,3,4,2,4,5,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,1,4,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,1,3,2,3,3,1,5,6,1,2,3,1,1,1,2,2,1,2.57142857142857,2.5,3.33333333333333,3,2.57142857142857,2.2,3.24242424242424,4,2.33333333333333
3,2,2,2,3,4,2,3,2,2,3,4,3,2,2,3,3,2,3,4,2,2,2,3,2,1,2,3,2,2,2,2,2,5,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,1,2,1,1,1,3,4,2,3,4,2,2,1,1,3,3,1,4,4,4,3,2,1,1,1,1,3,4,4,2,1,1,4,4,4,2,2,2,3,4,2,1,3,3,3,3,3,3,1,1,2,4,1,2,1,2,2,1,2.66666666666667,2,2,2.77777777777778,2,2.13333333333333,2.42424242424242,2.6,2.5
3,2,2,3,4,4,3,4,2,2,4,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,4,4,2,1,1,0,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,3,3,2,1,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,2,3,1,2,1,2,2,1,3.42857142857143,3.5,1.33333333333333,2.88888888888889,2.57142857142857,2.73333333333333,3.6969696969697,3,2.66666666666667
3,1,2,2,2,3,2,4,2,4,4,4,1,1,4,4,3,4,1,4,3,4,4,4,1,2,2,2,3,3,4,1,2,6,2,3,3,3,3,3,3,3,3,1,2,3,3,3,4,3,1,3,3,2,2,3,2,2,1,1,1,1,2,3,3,1,1,1,4,4,4,4,4,4,2,1,1,3,4,4,3,4,4,3,3,3,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,3,3,3,3,4,6,1,1,4,1,2,1,2,5,1,3.04761904761905,2.16666666666667,2.33333333333333,2.88888888888889,2.71428571428571,2,2.39393939393939,1.6,2.16666666666667
4,1,1,3,3,1,2,3,1,2,3,4,1,1,4,3,4,3,2,2,4,2,2,3,2,3,4,2,1,3,3,1,4,5,2,3,3,3,3,3,3,3,3,2,2,1,3,3,3,1,2,2,3,1,1,3,2,1,2,2,1,3,4,2,3,3,3,2,3,2,2,4,4,4,2,2,1,1,1,1,4,4,4,3,3,1,1,2,1,4,4,4,3,3,2,4,4,4,3,1,2,1,4,1,3,3,2,3,3,3,5,6,1,2,3,1,2,1,2,5,1,2.52380952380952,2.5,2.66666666666667,2.88888888888889,2.14285714285714,2.13333333333333,2.72727272727273,2.2,2.5
3,2,2,1,2,2,1,3,1,4,4,4,1,1,1,4,4,3,1,4,2,3,3,3,1,1,1,1,1,1,4,1,1,6,2,3,1,1,1,3,3,3,3,1,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,1,1,4,4,4,4,4,4,1,1,1,1,1,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,3,2,2,3,3,4,6,1,1,3,2,2,1,2,5,1,2.47619047619048,1,2,2.22222222222222,1.85714285714286,1,2.87878787878788,4,2.33333333333333
1,2,2,3,3,3,3,4,2,2,4,2,3,3,4,4,4,3,2,4,4,3,3,4,2,2,2,2,2,2,2,1,2,5,2,3,3,3,3,2,3,2,3,2,2,3,3,3,2,1,2,3,2,2,2,2,2,2,2,3,3,2,3,2,3,2,1,1,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,1,2,4,4,4,4,4,2,1,3,3,2,3,2,2,1,1,2,2,1,2,1,2,6,1,3.19047619047619,2,1.66666666666667,2.66666666666667,2.28571428571429,2.33333333333333,2.18181818181818,4,2.33333333333333
4,1,2,3,2,2,1,3,2,3,4,4,1,1,1,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2,4,3,3,5,2,3,3,1,3,3,3,2,2,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,4,4,3,3,3,4,4,4,2,2,3,2,3,3,3,2,2,4,4,4,4,4,4,2,2,3,2,3,3,1,3,1,1,3,2,3,6,1,2,3,2,2,1,2,6,1,2.19047619047619,2,3.33333333333333,2.44444444444444,3,2.2,2.87878787878788,2.4,2
1,1,1,3,4,4,4,4,1,1,4,2,2,3,3,2,4,2,2,4,1,1,1,4,1,1,1,1,1,1,2,1,2,5,2,3,2,2,2,2,3,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,3,3,3,2,1,1,2,1,1,2,1,1,3,2,1,3,1,1,2,2,4,3,4,3,1,3,3,3,3,3,3,1,1,2,2,1,2,1,2,5,1,2.66666666666667,1,1.66666666666667,2.22222222222222,1,1.2,1.57575757575758,3,2.66666666666667
3,2,2,2,2,3,2,3,3,3,4,4,3,2,3,3,3,2,3,4,2,3,3,3,3,2,3,3,3,3,3,1,1,4,2,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,3,2,3,3,3,2,2,2,3,3,3,2,2,2,1,1,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,1,3,3,3,3,3,3,4,1,1,2,3,2,2,1,2,5,1,2.85714285714286,2.83333333333333,1.66666666666667,2.77777777777778,2.71428571428571,2.46666666666667,3.45454545454545,3.8,2.66666666666667
1,1,2,3,3,4,2,3,3,3,4,4,1,2,4,4,4,4,3,4,2,4,4,4,3,2,1,1,1,3,1,1,3,5,2,3,3,3,3,3,3,1,3,2,2,3,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,3,4,3,3,4,3,2,1,1,3,4,3,3,2,3,3,4,4,2,1,1,1,1,1,3,3,3,2,1,1,3,4,4,4,4,4,4,4,1,1,3,2,1,3,4,5,3,1,2,1,1,2,1,2,5,1,3.28571428571429,1.83333333333333,1.66666666666667,2.66666666666667,2.42857142857143,2.2,2.54545454545455,4,1.83333333333333
3,2,2,1,4,1,2,4,3,3,4,4,2,1,3,2,4,4,1,4,3,3,3,4,3,1,3,4,4,3,2,1,2,6,2,1,1,1,2,1,2,1,2,1,3,4,4,4,4,2,1,1,2,2,3,4,3,1,4,4,4,4,4,3,4,2,2,2,2,2,2,4,4,4,3,3,3,2,2,2,4,4,4,4,4,4,2,2,2,3,2,2,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,5,1,1,2,6,2,2,2,1,7,1,2.85714285714286,3,1.66666666666667,1.44444444444444,3.14285714285714,2.93333333333333,2.84848484848485,4,3
1,1,2,2,3,2,3,4,2,3,1,3,3,1,2,3,3,2,3,3,2,3,2,4,3,3,2,2,3,3,2,2,2,5,2,3,3,2,2,2,3,3,2,2,3,2,2,3,4,4,2,1,2,2,3,2,2,3,3,3,2,3,2,2,2,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,1,3,3,1,3,3,3,3,3,2,1,1,5,1,2,1,2,5,1,2.57142857142857,2.66666666666667,2,2.44444444444444,2.85714285714286,2.26666666666667,3.48484848484848,2.2,2.66666666666667
1,1,2,2,4,4,3,4,4,4,4,4,3,2,3,2,4,4,1,4,2,1,2,4,2,3,3,3,4,1,4,2,2,5,1,3,3,3,3,3,1,1,2,2,2,3,4,4,4,1,2,3,2,3,1,2,3,4,2,2,4,4,4,4,4,1,1,1,2,2,1,3,2,1,3,4,2,3,4,3,3,4,3,2,2,1,1,1,1,1,1,1,2,2,1,4,4,4,4,4,4,4,2,2,1,3,2,3,3,4,5,3,1,3,2,1,2,1,2,6,1,3.0952380952381,2.66666666666667,2.66666666666667,2.22222222222222,2.85714285714286,2.93333333333333,2.15151515151515,3.6,2.33333333333333
3,2,2,3,3,2,2,2,3,4,4,4,3,3,3,3,3,3,2,4,2,1,2,4,2,2,2,2,2,3,2,2,5,5,2,3,3,3,3,3,3,1,2,2,1,2,2,3,2,2,2,2,1,1,2,3,2,2,2,1,1,2,2,1,1,2,2,1,3,2,1,3,2,1,3,2,2,3,2,2,4,2,2,3,2,1,1,3,1,3,2,1,2,2,1,4,2,1,3,2,3,1,2,2,1,3,3,3,3,3,5,3,1,2,3,2,2,1,2,2,1,2.85714285714286,2.16666666666667,3,2.55555555555556,2,1.66666666666667,2.06060606060606,2.2,2.5
2,2,2,3,3,2,2,4,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,4,2,1,3,3,3,3,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,4,4,3,4,4,4,4,4,2,2,4,3,4,4,3,4,4,2,2,1,4,4,4,2,3,4,4,4,3,1,3,3,3,3,3,4,3,1,2,3,2,1,1,2,5,1,2.38095238095238,3,2.66666666666667,2,2,2.06666666666667,2.90909090909091,3.4,2.66666666666667
2,2,2,1,1,1,2,4,3,3,1,4,1,1,1,2,4,2,2,4,2,2,2,4,3,2,2,3,2,2,3,2,4,6,3,3,3,3,2,3,3,1,3,2,2,3,3,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,1,3,4,3,3,4,2,3,4,4,3,2,2,4,4,4,2,2,2,1,1,1,4,4,1,2,2,1,4,4,1,4,4,3,4,4,2,3,3,2,1,3,3,5,3,1,2,8,1,1,1,2,5,1,2.23809523809524,2.33333333333333,3,2.66666666666667,2.14285714285714,2.26666666666667,2.60606060606061,3.8,2.33333333333333
4,2,2,1,4,4,2,4,4,4,4,4,4,2,3,4,4,4,3,4,4,1,2,4,2,2,2,2,2,2,3,2,1,5,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,2,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,2,1,1,3,4,4,2,1,1,4,4,4,4,4,4,3,4,1,3,3,3,3,3,3,2,1,2,2,4,1,2,1,2,5,1,3.33333333333333,2,2,3,2.85714285714286,2,3.12121212121212,3.8,2.66666666666667
3,2,2,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,3,4,1,3,3,4,3,3,3,4,3,2,1,2,1,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,3,1,3,3,3,3,3,2,1,1,2,3,2,2,1,2,5,1,3.47619047619048,3,1.33333333333333,3,2.57142857142857,2.66666666666667,3.12121212121212,4,2.66666666666667
1,1,2,2,2,3,2,3,2,2,3,4,2,2,2,2,3,2,2,3,1,3,3,4,2,2,1,2,2,1,3,1,4,6,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,3,1,2,2,1,2,4,1,2,2,2,1,1,1,4,4,2,4,4,2,1,1,1,3,4,2,2,2,1,4,4,1,2,1,2,1,1,3,1,3,2,3,3,2,4,3,1,1,2,1,2,1,2,5,1,2.47619047619048,1.66666666666667,2.66666666666667,3,2,1.4,2.18181818181818,1.4,2.5
1,2,2,3,3,3,2,4,3,4,4,4,2,1,2,3,3,2,1,3,2,1,1,4,3,3,2,3,2,2,2,2,2,4,2,3,2,2,2,2,2,3,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,1,2,3,2,3,2,2,1,3,2,1,3,4,2,4,4,2,2,2,2,4,4,2,4,4,1,4,4,2,3,2,2,3,2,1,4,4,2,3,4,4,3,3,3,1,3,2,3,3,3,4,2,1,2,2,1,2,1,2,5,1,2.61904761904762,2.5,2,2.22222222222222,2.28571428571429,2,2.66666666666667,3.4,2.5
1,1,2,3,3,3,3,4,3,4,4,4,4,2,3,4,4,4,3,4,3,2,1,4,3,3,4,3,3,4,3,1,3,5,3,1,3,2,1,3,2,3,3,4,2,3,4,3,3,2,2,4,3,2,1,2,3,3,2,1,2,2,4,2,2,3,2,1,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,4,4,1,1,1,4,4,4,2,1,1,4,4,4,4,4,4,4,3,2,2,3,3,2,1,3,4,3,1,2,2,1,2,1,2,5,1,3.28571428571429,3.33333333333333,2.33333333333333,2.33333333333333,3,2.33333333333333,3.15151515151515,3.8,2.16666666666667
3,2,2,3,3,3,3,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,0,1,2,1,1,1,3,3,1,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,3,1,2,3,1,2,2,1,2,3,1,2,3,1,2,1,1,2,3,1,2,4,1,2,4,1,2,1,3,4,4,4,3,1,3,2,3,3,4,4,3,1,2,3,2,2,1,2,5,1,3.19047619047619,3,1.66666666666667,1.77777777777778,2.28571428571429,1.93333333333333,1.90909090909091,3.2,2.5
4,1,2,1,1,1,1,3,3,3,3,4,3,3,2,3,2,2,1,4,2,2,2,4,1,3,4,1,3,4,3,2,5,6,1,3,3,3,1,3,3,1,1,4,1,1,4,4,4,2,4,2,3,3,2,4,4,3,4,4,4,4,4,4,4,1,2,1,3,2,1,3,3,3,4,3,1,1,1,1,3,3,4,2,3,2,1,1,1,1,1,1,2,3,1,3,3,3,2,2,2,3,2,1,3,3,2,3,3,3,3,6,2,3,4,1,2,1,2,5,1,2.38095238095238,2.66666666666667,3.33333333333333,2.11111111111111,2.85714285714286,3.53333333333333,2.06060606060606,2.2,2.5
